,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
0,ef18bd44d172b482225daeaf30f09fd8388c0a59,128.35144,-3.623452,5.0,ID.MA.MT,97544.0,16-06-21,15:00:03,1,1.0,green
1,c4a2557f529465830145c548d837696a0a905f41,128.170989,-3.657657,10.0,ID.MA.AM,97223.0,16-06-21,15:00:05,702,1.0,green
2,0079b931d52588fc3cb0a975208f27954ce93783,128.32227,-3.56446,17.0,ID.MA.MT,97544.0,16-06-21,15:00:10,15,0.999,green
3,0079b931d52588fc3cb0a975208f27954ce93783,128.322286,-3.564461,12.0,ID.MA.MT,97544.0,16-06-21,15:00:12,15,1.0,green
4,9323bad2c46dc1e089bfb1c8b291511c993022a9,128.970263,-3.297297,12.0,ID.MA.MT,97544.0,16-06-21,15:00:13,64,0.999,green
5,0079b931d52588fc3cb0a975208f27954ce93783,128.32228,-3.564461,15.0,ID.MA.MT,97544.0,16-06-21,15:00:14,15,0.999,green
6,625605a69289c4704ed758c3b4490c3b2fff0b4b,130.07806,-3.05011,6.0,ID.MA.MT,97544.0,16-06-21,15:00:15,4,1.0,green
7,6e54509efcb4b06423160766c670776b39da0348,128.201701,-3.667434,6.0,ID.MA.AM,97128.0,16-06-21,15:00:16,87,0.999,green
8,6e54509efcb4b06423160766c670776b39da0348,128.201701,-3.667434,4.0,ID.MA.AM,97128.0,16-06-21,15:00:18,87,1.0,green
9,625605a69289c4704ed758c3b4490c3b2fff0b4b,130.078051,-3.050103,6.0,ID.MA.MT,97544.0,16-06-21,15:00:20,4,0.999,green
10,6e54509efcb4b06423160766c670776b39da0348,128.201701,-3.667434,5.0,ID.MA.AM,97128.0,16-06-21,15:00:21,87,0.999,green
12,6e54509efcb4b06423160766c670776b39da0348,128.201701,-3.667434,11.0,ID.MA.AM,97128.0,16-06-21,15:00:25,87,1.0,green
13,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35617,-3.32872,16.0,ID.MA.SB,97566.0,16-06-21,15:00:25,1411,1.0,green
11,0079b931d52588fc3cb0a975208f27954ce93783,128.32228,-3.564461,17.0,ID.MA.MT,97544.0,16-06-21,15:00:25,15,0.999,green
14,f580b77cc1182116502bc0082766bf149ac765a0,128.17854,-3.698709,9.0,ID.MA.AM,97126.0,16-06-21,15:00:31,2,1.0,green
15,b599a3eb4dccc2d9a36da0b34e6ddb45f3f35b25,128.127346,-3.773611,40.0,ID.MA.AM,97118.0,16-06-21,15:00:34,1,0.999,green
16,c3371b8ed5d8dc8db09be18bedc57130df9ff8f5,128.17601,-3.699972,4.0,ID.MA.AM,97112.0,16-06-21,15:00:41,2,0.999,green
17,a34a6ecd0065b34b3e6314b77122f5f78e0ffd2d,128.062343,-3.080816,14.0,ID.MA.SB,97561.0,16-06-21,15:00:43,126,1.0,green
18,46a2aafa93656b852bc4c98eebdf54e828b9d73a,128.193495,-3.681055,1.0,ID.MA.AM,97128.0,16-06-21,15:00:48,2,0.999,green
19,c87552b9ac9fb04f222f41734f4f3600afbe7fd2,128.19237,-3.680968,12.0,ID.MA.AM,97128.0,16-06-21,15:00:51,11,1.0,green
20,84ee9900948cad269104ce02f1528eb4c8a28ffa,127.936258,-3.131991,13.0,ID.MA.SB,97572.0,16-06-21,15:00:52,9,0.999,green
