,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color,Magnitude,Depth
0,datagempa,129.527,-3.568,0.0,-,-,16-06-21,13:43:08,1,10.0,red,6.1,10
1,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21885,-3.690325,10.0,ID.MA.AM,97128.0,16-06-21,13:43:05,60,1.0,green,-,-
2,26fe4fa0d982e90468b27e2fa3665a282ab68c45,129.799955,-2.921788,14.0,ID.MA.MT,97544.0,16-06-21,13:43:05,613,0.999,green,-,-
3,26fe4fa0d982e90468b27e2fa3665a282ab68c45,129.799955,-2.921788,20.0,ID.MA.MT,97544.0,16-06-21,13:43:06,613,0.999,green,-,-
4,18e7d9686427951c9736a21d12370a46ef3f17bb,128.206215,-3.679135,27.0,ID.MA.AM,97128.0,16-06-21,13:43:06,3,1.0,green,-,-
5,e3d8a67cf36dff02586c38686cfc65c04a311c7e,130.4587,-3.086441,18.0,ID.MA.ST,97585.0,16-06-21,13:43:08,6,0.999,green,-,-
6,18e7d9686427951c9736a21d12370a46ef3f17bb,128.206215,-3.679135,16.0,ID.MA.AM,97128.0,16-06-21,13:43:11,3,1.0,green,-,-
7,18e7d9686427951c9736a21d12370a46ef3f17bb,128.206215,-3.679135,8.0,ID.MA.AM,97128.0,16-06-21,13:43:12,3,0.999,green,-,-
8,54e6777ddcabd9992dffe904a28bfbf51bfbacfe,128.203259,-3.684793,5.0,ID.MA.AM,97128.0,16-06-21,13:43:12,531,1.0,green,-,-
9,4c4bc186108133bdabffe15ac10cd0e6e389b6f6,128.190661,-3.679538,10.0,ID.MA.AM,97128.0,16-06-21,13:43:15,1,1.0,green,-,-
10,e3d8a67cf36dff02586c38686cfc65c04a311c7e,130.4587,-3.086441,5.0,ID.MA.ST,97585.0,16-06-21,13:43:17,6,0.999,green,-,-
11,2fe71f44c9a526dd34a4c5873b72760205a809cc,128.183235,-3.689169,4.0,ID.MA.AM,97123.0,16-06-21,13:43:18,283,0.999,green,-,-
12,ad01b4d2bd601dfae5093d5879f3cee71eb70f9c,129.518725,-2.805916,16.0,ID.MA.MT,97544.0,16-06-21,13:43:20,2,1.0,green,-,-
13,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.290053,-3.619547,10.0,ID.MA.MT,97544.0,16-06-21,13:43:21,30,0.999,green,-,-
14,e3d8a67cf36dff02586c38686cfc65c04a311c7e,130.4587,-3.08644,5.0,ID.MA.ST,97585.0,16-06-21,13:43:27,6,0.999,green,-,-
15,b983879d8a1c4be6078aa31239a1037f928afa8e,128.212279,-3.693693,5.0,ID.MA.AM,97129.0,16-06-21,13:43:29,177,1.0,green,-,-
16,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21885,-3.690325,9.0,ID.MA.AM,97128.0,16-06-21,13:43:30,60,1.0,green,-,-
17,a834b7e98a3f650554b09b850168179635a37fae,128.46721,-3.516444,10.0,ID.MA.MT,97545.0,16-06-21,13:43:34,21,1.0,green,-,-
18,f23ebc8f43a3f27ddd4fc415d57d6c763c5dbdab,130.13711,-3.02428,17.0,ID.MA.ST,97582.0,16-06-21,13:43:35,113,0.999,green,-,-
19,43d71b6bd354d1a888e47e6a56ed3832b65e9250,128.19401,-3.68049,6.0,ID.MA.AM,97128.0,16-06-21,13:43:35,8,1.0,green,-,-
20,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.290053,-3.619547,7.0,ID.MA.MT,97544.0,16-06-21,13:43:38,30,1.0,green,-,-
21,0c406c7e907b572544f9f9512ee6860e120b42d9,128.230811,-3.064446,16.0,ID.MA.SB,97561.0,16-06-21,13:43:39,6,0.999,green,-,-
22,1c1310f88dd8bbf16379d381fee24afc04250a88,128.170622,-3.704359,19.0,ID.MA.AM,97115.0,16-06-21,13:43:40,3198,1.0,green,-,-
23,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.290053,-3.619547,21.0,ID.MA.MT,97544.0,16-06-21,13:43:40,30,0.999,green,-,-
24,d9e11f3d2607a4da3820be17a8ecaed39ec9585f,128.191627,-3.675675,5.0,ID.MA.AM,97129.0,16-06-21,13:43:41,145,1.0,green,-,-
25,90d7e776d379392594af91e69d0f28dd0f7f2091,128.226862,-3.686538,4.0,ID.MA.AM,97128.0,16-06-21,13:43:42,3,1.0,green,-,-
26,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21885,-3.690325,13.0,ID.MA.AM,97128.0,16-06-21,13:43:46,60,0.999,green,-,-
27,440d9c7638e31942ebc1a1d71f9a709521848a4e,128.21684,-3.67834,6.0,ID.MA.AM,97128.0,16-06-21,13:43:47,1,1.0,green,-,-
28,a834b7e98a3f650554b09b850168179635a37fae,128.46721,-3.516444,8.0,ID.MA.MT,97545.0,16-06-21,13:43:51,21,0.999,green,-,-
29,198333463289568a5c2da99d173a4666983f0114,128.11823,-3.58803,10.0,ID.MA.MT,97543.0,16-06-21,13:43:52,2,1.0,green,-,-
30,a834b7e98a3f650554b09b850168179635a37fae,128.46721,-3.516444,5.0,ID.MA.MT,97545.0,16-06-21,13:43:53,21,0.999,green,-,-
31,5d5d675ce361b3bdbcd623306b0a09a6af0fe5a1,128.220024,-3.621621,13.0,ID.MA.AM,97217.0,16-06-21,13:43:55,3,1.0,green,-,-
32,54af5654fa7c805e336e807b1870ac70854861c0,128.220024,-3.621621,6.0,ID.MA.AM,97217.0,16-06-21,13:43:59,17,0.999,green,-,-
33,b09476b9c8cf0aa52a1d2a30c9fec602f2072bd6,128.106699,-3.696988,10.0,,,16-06-21,13:44:00,41,1.0,green,-,-
34,a834b7e98a3f650554b09b850168179635a37fae,128.46721,-3.516444,9.0,ID.MA.MT,97545.0,16-06-21,13:44:02,21,0.999,green,-,-
35,cdcf65b6f04ecf17ca005236d65682f66cfd81a4,129.54913,-3.46333,13.0,ID.MA.MT,97544.0,16-06-21,13:44:04,72,1.0,green,-,-
36,54af5654fa7c805e336e807b1870ac70854861c0,128.220024,-3.621621,9.0,ID.MA.AM,97217.0,16-06-21,13:44:05,17,1.0,green,-,-
37,34a5fdc468bea1a9e51fe12e6c6a16e3d6ee3a75,128.191627,-3.675675,10.0,ID.MA.AM,97129.0,16-06-21,13:44:06,3,0.999,green,-,-
38,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,9.0,ID.MA.AM,97127.0,16-06-21,13:44:07,299,1.0,green,-,-
39,3dcb631700de72d8bcaceb98a8bf7073830ac0ea,128.967932,-3.279279,8.0,,,16-06-21,13:44:08,46,1.0,green,-,-
40,18decd77e6e11d22d56f18c0e883f483c76a1225,128.31509,-3.639118,10.0,,,16-06-21,13:44:09,23,0.999,green,-,-
41,9357488e654947c0f728f113ab5c5bd02e1cb7af,128.95921,-3.306455,1.0,ID.MA.MT,97544.0,16-06-21,13:44:11,6,1.0,green,-,-
42,b2e7d334b0f7b69ae4d47486a2b67ce4ac57a0e8,128.17918,-3.694643,17.0,ID.MA.AM,97126.0,16-06-21,13:44:11,4,0.999,green,-,-
43,2adb010879b293cf53e6ce8c269a7dd5159dbb37,129.54871,-3.297931,9.0,ID.MA.MT,97544.0,16-06-21,13:44:12,4,0.999,green,-,-
44,9357488e654947c0f728f113ab5c5bd02e1cb7af,128.959207,-3.306455,7.0,ID.MA.MT,97544.0,16-06-21,13:44:19,6,0.999,green,-,-
45,9357488e654947c0f728f113ab5c5bd02e1cb7af,128.95921,-3.30647,1.0,ID.MA.MT,97544.0,16-06-21,13:44:22,6,1.0,green,-,-
46,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21885,-3.690325,4.0,ID.MA.AM,97128.0,16-06-21,13:44:24,60,0.999,green,-,-
47,13cff04806d65fc07f33b9d3b09c7f6b0fe68c43,129.917863,-2.996966,13.0,ID.MA.MT,97544.0,16-06-21,13:44:25,82,1.0,green,-,-
48,43323686b137a26a708cdf111a8fef9f68bfa64c,128.9726,-3.28489,8.0,ID.MA.MT,97544.0,16-06-21,13:44:28,25,0.999,green,-,-
49,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.18264,-3.69895,16.0,ID.MA.AM,97127.0,16-06-21,13:44:31,299,0.999,green,-,-
50,21b7579a5fe952154005ad9bc19a6cfcc80b3833,128.240637,-3.639639,13.0,,,16-06-21,13:44:31,354,1.0,green,-,-
51,7ae63a42bf2dff6be73fcff4e4900bada8e1083c,128.342972,-3.514698,9.0,ID.MA.MT,97544.0,16-06-21,13:44:33,2,0.999,green,-,-
52,f2cf2f6ea00898622ba007146be36c8c0138adf4,128.19915,-3.6927,29.0,ID.MA.AM,97129.0,16-06-21,13:44:34,1,0.999,green,-,-
53,90890bad1c542f8e5ce7307d89238a41a84e21cd,130.50379,-3.108141,7.0,ID.MA.ST,97585.0,16-06-21,13:44:38,3,1.0,green,-,-
54,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21885,-3.690325,14.0,ID.MA.AM,97128.0,16-06-21,13:44:39,60,0.999,green,-,-
55,ca43f19e292907cf89069c19a78134d21f653ae1,128.168487,-3.709103,3.0,ID.MA.AM,97116.0,16-06-21,13:44:40,21,1.0,green,-,-
56,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,3.0,ID.MA.AM,97127.0,16-06-21,13:44:43,299,0.999,green,-,-
57,7ae63a42bf2dff6be73fcff4e4900bada8e1083c,128.34298,-3.5147,9.0,ID.MA.MT,97544.0,16-06-21,13:44:44,2,1.0,green,-,-
58,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.290053,-3.619547,7.0,ID.MA.MT,97544.0,16-06-21,13:44:44,30,1.0,green,-,-
59,42e2952a0280336eaed618f9ad4171cbb8d5ad81,128.186442,-3.687599,6.0,ID.MA.AM,97123.0,16-06-21,13:44:47,3252,0.999,green,-,-
60,f23ebc8f43a3f27ddd4fc415d57d6c763c5dbdab,130.137114,-3.024271,7.0,ID.MA.ST,97582.0,16-06-21,13:44:47,113,1.0,green,-,-
61,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.29005,-3.61955,4.0,ID.MA.MT,97544.0,16-06-21,13:44:49,30,0.999,green,-,-
62,dc834d272d9bf8122dc24954f3c9e418fe326b6e,127.92539,-3.677331,15.0,ID.MA.MT,,16-06-21,13:44:49,1,1.0,green,-,-
63,252ec88fc63c57c98944bbd88f5b656a0cd2c46c,128.353935,-3.3333,8.0,ID.MA.SB,97566.0,16-06-21,13:44:49,6,1.0,green,-,-
64,86fe9f650a157c7b9e22ba4ef24bfb056914bd7b,128.21885,-3.690325,11.0,ID.MA.AM,97128.0,16-06-21,13:44:57,60,0.999,green,-,-
65,cca3c88bf747ac94de9369c5a185fdffc7e153ce,128.186473,-3.639639,8.0,ID.MA.AM,97223.0,16-06-21,13:44:57,72,1.0,green,-,-
66,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,18.0,ID.MA.AM,97127.0,16-06-21,13:44:59,299,1.0,green,-,-
67,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.465443,-3.087888,14.0,ID.MA.ST,97585.0,16-06-21,13:45:00,122,0.999,green,-,-
68,23cf5ed01833a776b95ab49fd34216c4d812ba2a,128.274186,-3.621621,3.0,,,16-06-21,13:45:00,177,1.0,green,-,-
69,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.465443,-3.087888,9.0,ID.MA.ST,97585.0,16-06-21,13:45:01,122,0.999,green,-,-
70,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.46544,-3.08789,3.0,ID.MA.ST,97585.0,16-06-21,13:45:02,122,1.0,green,-,-
71,ab3240d1df8877b4f5233df0e883f118301c7527,128.219348,-3.684517,17.0,ID.MA.AM,97128.0,16-06-21,13:45:02,10,0.999,green,-,-
72,90890bad1c542f8e5ce7307d89238a41a84e21cd,130.50379,-3.10815,9.0,ID.MA.ST,97585.0,16-06-21,13:45:04,3,0.999,green,-,-
73,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.465443,-3.087888,10.0,ID.MA.ST,97585.0,16-06-21,13:45:06,122,1.0,green,-,-
74,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,20.0,ID.MA.AM,97127.0,16-06-21,13:45:08,299,0.999,green,-,-
75,9d5fc45f1e86a9b12de257350308216b3e59940c,128.361311,-3.333333,15.0,ID.MA.SB,97566.0,16-06-21,13:45:13,70,1.0,green,-,-
76,8a812a2584130f0db9231d35eaf0e39265972a8b,128.15878,-3.70742,9.0,ID.MA.AM,97117.0,16-06-21,13:45:14,86,0.999,green,-,-
77,9d5fc45f1e86a9b12de257350308216b3e59940c,128.361311,-3.333333,10.0,ID.MA.SB,97566.0,16-06-21,13:45:17,70,1.0,green,-,-
78,ca43f19e292907cf89069c19a78134d21f653ae1,128.16848,-3.70911,7.0,ID.MA.AM,97116.0,16-06-21,13:45:20,21,0.999,green,-,-
79,8a812a2584130f0db9231d35eaf0e39265972a8b,128.15876,-3.70743,9.0,ID.MA.AM,97117.0,16-06-21,13:45:23,86,0.999,green,-,-
80,b09476b9c8cf0aa52a1d2a30c9fec602f2072bd6,128.106699,-3.696988,10.0,,,16-06-21,13:45:27,41,1.0,green,-,-
81,08c5e39e720ea822be8ddae37084c7d6205e5031,128.17692,-3.697057,8.0,ID.MA.AM,97126.0,16-06-21,13:45:27,1,0.999,green,-,-
82,44ff24d77852adde2f1e67b34d1f5388aece03f5,128.256132,-3.621621,8.0,ID.MA.AM,97214.0,16-06-21,13:45:28,105,0.999,green,-,-
83,8a812a2584130f0db9231d35eaf0e39265972a8b,128.158766,-3.707427,12.0,ID.MA.AM,97117.0,16-06-21,13:45:32,86,0.999,green,-,-
84,ca43f19e292907cf89069c19a78134d21f653ae1,128.16848,-3.70911,7.0,ID.MA.AM,97116.0,16-06-21,13:45:35,21,0.999,green,-,-
85,dad016ae6834300fb7b83d75c86c77cc99ea22e3,128.16072,-3.711711,6.0,ID.MA.AM,97117.0,16-06-21,13:45:39,8,1.0,green,-,-
86,c126296dd2a48ec1b8b308a59b2473b8f80d3d7b,128.426424,-2.857764,11.0,ID.MA.SB,97562.0,16-06-21,13:45:43,7,0.999,green,-,-
87,8c12d5ddc5fe667b0620b0e13d58e7c5c461ccea,128.954557,-3.315315,17.0,ID.MA.MT,97544.0,16-06-21,13:45:47,312,0.999,green,-,-
88,621ffc5533da09db02eb5d84b893600358bd3d60,128.177597,-3.6902,8.0,,,16-06-21,13:45:49,33,0.999,green,-,-
89,2579b5d4ca0ac56f53aeeaef31b407fc38e60802,130.46543,-3.08788,3.0,ID.MA.ST,97585.0,16-06-21,13:45:51,122,0.999,green,-,-
90,7e48388822503632702e9c24aec56e9a72530e28,128.963011,-3.307005,5.0,ID.MA.MT,97544.0,16-06-21,13:45:51,6,1.0,green,-,-
91,90890bad1c542f8e5ce7307d89238a41a84e21cd,130.50377,-3.10814,9.0,ID.MA.ST,97585.0,16-06-21,13:45:53,3,1.0,green,-,-
92,3b414085adf336ef7ae3711977c44aecccdb7c0d,128.178747,-3.699188,8.0,ID.MA.AM,97126.0,16-06-21,13:45:54,430,0.999,green,-,-
93,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,13.0,ID.MA.AM,97127.0,16-06-21,13:45:56,299,1.0,green,-,-
94,203bc47fbbd2b452f7b2f67de3725706ce4383f0,128.27875,-3.210469,4.0,ID.MA.SB,97564.0,16-06-21,13:45:59,1,0.999,green,-,-
95,17e7c1c1e6dd78b32889e1da0e02e90593f04c4d,127.902115,-2.923476,19.0,ID.MA.SB,,16-06-21,13:45:59,1,1.0,green,-,-
96,762aeeb5c91e456df10e9ee3cb14e7bb0fc344ee,130.48518,-3.101713,7.0,ID.MA.ST,97585.0,16-06-21,13:46:02,3,0.999,green,-,-
97,dad016ae6834300fb7b83d75c86c77cc99ea22e3,128.16072,-3.711711,23.0,ID.MA.AM,97117.0,16-06-21,13:46:03,8,1.0,green,-,-
98,2630a419fa1d8f10316912973c0b1ff4b24d2672,128.32071,-3.289435,6.0,ID.MA.SB,97564.0,16-06-21,13:46:06,14,1.0,green,-,-
99,9b696b8453d4e25f2f23ad3a1b9283ab83571986,128.251875,-3.582893,18.0,ID.MA.AM,97214.0,16-06-21,13:46:10,16,0.999,green,-,-
100,7e48388822503632702e9c24aec56e9a72530e28,128.96301,-3.307005,20.0,ID.MA.MT,97544.0,16-06-21,13:46:11,6,1.0,green,-,-
101,9b696b8453d4e25f2f23ad3a1b9283ab83571986,128.251875,-3.582893,16.0,ID.MA.AM,97214.0,16-06-21,13:46:12,16,0.999,green,-,-
102,2119855df54c0e27fb5a133d8dcabecb2b3d105d,128.19211,-3.677427,6.0,ID.MA.AM,97129.0,16-06-21,13:46:19,7,1.0,green,-,-
103,606ec54a05ddf2ddc9637ac8a68ad368b1552e84,128.182646,-3.698941,4.0,ID.MA.AM,97127.0,16-06-21,13:46:21,299,1.0,green,-,-
104,7e48388822503632702e9c24aec56e9a72530e28,128.96302,-3.30701,20.0,ID.MA.MT,97544.0,16-06-21,13:46:22,6,0.999,green,-,-
