,maid,horizontal_accuracy,latitude,longitude,city_hasc,postcode,Date,Hour,count
0,06f512c297e16e81dd161979ac09545df0afeb34,14.0,-3.6937,128.19422,ID.MA.AM,97121.0,16-06-21,00:00:19,28
2,940098734cbe61843e32a6c9adf82dfc8f87c968,8.0,-3.702269,128.182223,ID.MA.AM,97127.0,16-06-21,00:00:41,3
6,46cc6a4402c3b8f8c6fa8294ca328ce6ffb4b5ad,20.0,-3.387387,127.971331,ID.MA.SB,97571.0,16-06-21,00:02:15,196
7,a797e305a10d9d4d01d951854738284b474bff4c,4.0,-3.603941,128.71289,ID.MA.MT,97546.0,16-06-21,00:02:18,1
8,1301deec7553963aa46d4f86c3012f10d428847c,14.0,-3.66557,128.15873,ID.MA.AM,97225.0,16-06-21,00:02:20,2
10,855a8469969f4d66dc99c513391f17a3fb7535b5,7.0,-3.693693,128.122001,,,16-06-21,00:03:07,1
11,0629172ab2f01133fd4cd2c03b3ff0bb390c7919,10.0,-2.84713,129.64967,ID.MA.MT,97544.0,16-06-21,00:03:15,2
12,3f12b1caaddbac9f2390e80659e7ada1fd1b7b6b,5.0,-2.955265,128.120093,ID.MA.SB,97561.0,16-06-21,00:04:20,4
18,e1ee4eb6ad63d233db5bfc18ceda7cc64351dada,13.0,-3.315315,129.64039,ID.MA.MT,97544.0,16-06-21,00:06:24,1
19,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,11.0,-3.66169,128.16882,ID.MA.AM,97224.0,16-06-21,00:06:45,259
20,e96e876fd464c0f8d1bc06e19e8ab6dadf7da23b,4.0,-3.70282,128.165391,ID.MA.AM,97115.0,16-06-21,00:07:01,1
21,0c24a5e48f5880c222f9c9413522e7c08cf3c1ab,93.0,-3.6902,128.1776,,,16-06-21,00:07:05,4
23,4f64f270bbb3d1497ed7ecddc0589f6c5504ea16,12.0,-3.6913,128.20378,ID.MA.AM,97129.0,16-06-21,00:09:41,3
24,5b51aa3b9690351d790c6f8a2793480d44182bc7,26.0,-3.657657,128.189044,ID.MA.AM,97223.0,16-06-21,00:10:01,151
25,754b8e93a76db23ff144c6a0d7a9fb2cb2789055,17.0,-3.72836,128.1473,ID.MA.AM,97117.0,16-06-21,00:10:07,2147
27,9a5ca3b60661b70ea4d728d9948c78acad676eef,15.0,-3.79004,128.09543,ID.MA.AM,97118.0,16-06-21,00:10:36,2
28,9c9a5f538c1bad90baec90cf9aa31be2f48b1b85,7.0,-3.29888,128.96235,ID.MA.MT,97544.0,16-06-21,00:11:06,2
29,2e11f08c2a0bf2cc5c0f3637174f7b8584158b3f,7.0,-3.62162,128.25613,ID.MA.AM,97214.0,16-06-21,00:11:31,148
30,4ba37ff33960043064a5e56dca8e31b3f3bed97b,20.0,-3.69379,128.18882,ID.MA.AM,97121.0,16-06-21,00:11:40,278
31,7e917addacb51400c35560fd64d439fea9521335,7.0,-3.662584,128.16101,ID.MA.AM,97225.0,16-06-21,00:11:47,1
33,baa0dfbdc60a983d8d04950d779f06c6d64ae191,9.0,-3.6991,128.17819,ID.MA.AM,97126.0,16-06-21,00:12:29,82
34,4be0e227df82ac83fe85a9c24c05c774bb487072,15.0,-3.693693,128.194223,ID.MA.AM,97121.0,16-06-21,00:12:56,202
36,0e901d8c1fcccd14eaaba6904cc57f2e6ad839db,12.0,-3.423423,128.69813,,,16-06-21,00:13:11,1
38,66b08c9c195b8374fdea561d97bfb0ef5881a8ad,12.0,-3.55691,128.19443,ID.MA.MT,97543.0,16-06-21,00:14:11,3
40,a36851dc0f717dca3295c89ebe3836b978e246e1,7.0,-3.59064,128.70195,ID.MA.MT,97546.0,16-06-21,00:15:44,16
42,8001b88b8db2b4a621748f383befc5a92fe044f9,6.0,-3.70307,128.1607,ID.MA.AM,97117.0,16-06-21,00:16:47,2
45,84b10d9917c01ee2d60da31c6f877cfb1c985980,5.0,-3.70489,128.16228,ID.MA.AM,97117.0,16-06-21,00:18:42,4
48,9c4a9fdbf27be919d18fb91e62d7378d38924cf7,6.0,-3.259212,129.032238,ID.MA.MT,97544.0,16-06-21,00:19:11,1
49,11f9051b9ed7b3d9efdb761f43c255b7efce72a7,12.0,-3.6937,128.19422,ID.MA.AM,97121.0,16-06-21,00:19:18,183
50,aac6733c92747306a62df8891784fd501f193685,8.0,-3.692768,128.204255,ID.MA.AM,97129.0,16-06-21,00:19:28,1
52,7cef611f2d3c0f64ca2da5f4cfdb1b59def047dd,6.0,-3.590128,128.086271,ID.MA.MT,97543.0,16-06-21,00:19:47,1
53,f6efc10cb20976ab6e111fd8a2b1f2ddaa8c4fc4,15.0,-3.603603,128.524391,ID.MA.MT,97545.0,16-06-21,00:19:52,158
54,fb7df9d9e2b8f58bb7d000458b3d49ad96b7e859,11.0,-3.59168,128.339006,ID.MA.MT,97544.0,16-06-21,00:20:26,9
56,665b4b4395807aadf47a513d5000bb662e7fe916,11.0,-3.6902,128.1776,,,16-06-21,00:21:11,6
58,cbb8daf81325cdc5aacf256e3bb61bfc38c06204,12.0,-3.603416,128.715125,ID.MA.MT,97546.0,16-06-21,00:21:22,2
63,b583f0af962b0ae733d423a938f24e7ebc98f91b,5.0,-3.685555,128.194262,ID.MA.AM,97128.0,16-06-21,00:23:25,1
64,647753af68dfcacbfe5f56616b18a4d3c9708e21,5.0,-3.57347,128.32201,ID.MA.MT,97544.0,16-06-21,00:23:38,29
66,926a5f5f0770656cbb8355f23e637afc92badb13,6.0,-3.625089,128.24385,ID.MA.AM,97215.0,16-06-21,00:24:10,55
68,f26ab1b9be8fe1d5984cd525070625ece0c23556,13.0,-3.21269,128.28066,ID.MA.SB,97564.0,16-06-21,00:25:15,10
71,b6bd3add8e9a065168bae39604a8f798d8543fdb,77.0,-3.6902,128.1776,,,16-06-21,00:25:59,2
72,1a724c5ffdb1413548eeda9c345694466c96fd3b,18.0,-3.20721,128.27296,ID.MA.SB,97564.0,16-06-21,00:26:14,179
78,53cfe1e0c91a10d9d19676feb9be8ad5be90acce,10.0,-3.65765,128.22513,ID.MA.AM,97212.0,16-06-21,00:27:46,44
79,1bffae3f633c70526412afe159553a6480974a75,13.0,-3.658039,128.214366,ID.MA.AM,97212.0,16-06-21,00:29:25,37
83,1053bdf47964598e8ea7e36c369c31eb679f9931,9.0,-3.706676,128.191733,ID.MA.AM,97129.0,16-06-21,00:30:31,110
84,11c6d72297b7b434de313514b8db336b52548bdd,9.0,-3.6937,128.19422,ID.MA.AM,97121.0,16-06-21,00:33:08,234
86,2ea9d92d3150e4e73c250493249e69bead266750,9.0,-3.711711,128.16072,ID.MA.AM,97117.0,16-06-21,00:34:16,10
87,f5655417cff77cdd2cf4a986b53fd249d3deeb56,32.0,-3.3086,128.95189,ID.MA.MT,97544.0,16-06-21,00:34:23,993
88,f5dc4927d2a25ec67cb7199d77bfa96cbabba75f,1.0,-3.6902,128.1776,,,16-06-21,00:35:21,53
89,2c1933a65b17ae56c433f00cc4edf98d5fe0c36f,15.0,-3.696172,128.19402,ID.MA.AM,97121.0,16-06-21,00:36:34,1
91,d9b88fc75af37ebad07cc0a154637453c64fd48a,8.0,-3.64361,128.245787,ID.MA.AM,97211.0,16-06-21,00:37:00,153
92,3e0aa142d087024c0b9913c0e984568ffd426fdd,24.0,-2.99262,130.14375,ID.MA.ST,97582.0,16-06-21,00:40:43,43
93,172a7ba76a838e37967f3542a73c87f5c948139c,6.0,-2.84956,128.636577,,,16-06-21,00:41:00,9
94,26bb9746bed19c245320f8536ea55dc546f3ac18,30.0,-3.657783,128.222795,ID.MA.AM,97212.0,16-06-21,00:41:34,1
96,31156368c9966fd40cd7caf0536d3375b6c48b7f,17.0,-3.621621,128.22002,ID.MA.AM,97217.0,16-06-21,00:43:19,154
98,7e736314897b6d7115012af8e313f9abfc50e127,9.0,-3.641668,128.24043,ID.MA.AM,97211.0,16-06-21,00:43:42,110
99,59e1c8a2b5a53e28450ff532d21ae0a3758881c2,11.0,-3.70781,128.17505,ID.MA.AM,97116.0,16-06-21,00:44:16,330
100,8f9e7f5b400a7c3958208d1da4fb6f5e83403771,94.0,-3.6902,128.1776,,,16-06-21,00:45:44,1
103,a9b2603eeb52c0cdd4429d3d999e1d5b76ac4534,8.0,-3.69581,128.1833,ID.MA.AM,97124.0,16-06-21,00:49:22,4
104,ae52f9220e7b3baca99f5a6bbf111e51cf2d2779,4.0,-3.670866,128.19921,ID.MA.AM,97128.0,16-06-21,00:49:36,2
106,d0c66d57503f28dc07a95c01adbacdd928d80e8a,4.0,-3.719768,128.066534,ID.MA.MT,97542.0,16-06-21,00:50:24,4
107,d314dfa65ea3dde2efccfb62b9a141b7cc69e1c3,34.0,-3.6902,128.1776,,,16-06-21,00:50:25,5
108,16a7ac36db127a9a537b37bd9d2604efe3bdbd8a,8.0,-3.59296,128.03071,ID.MA.MT,97543.0,16-06-21,00:50:40,3
109,992055d56c0b64e9675c1e1928d4dfac62652409,46.0,-3.6902,128.1776,,,16-06-21,00:51:35,1
110,1e7229103094c7d04ec5d47e51a95266bfba79dc,5.0,-3.279279,128.967932,,,16-06-21,00:53:23,1
111,9356e40166814fecd289245ab1949f4f1ecca30f,19.0,-3.27137,128.97375,ID.MA.MT,97544.0,16-06-21,00:53:43,1
112,487ca051cf08c1d73571863dfd5707f9996a896d,10.0,-3.582248,128.324274,ID.MA.MT,97544.0,16-06-21,00:54:09,6
114,4f180e407767b5c53f9294b0ed4facd41d2d190a,8.0,-3.69329,128.20273,ID.MA.AM,97129.0,16-06-21,00:54:52,1
115,0d62f4bb7552044b83de7f3711b202ee04d9884f,43.0,-3.6937,128.19422,ID.MA.AM,97121.0,16-06-21,00:54:58,348
118,141eafac4fd0996b3b1519f07585f1cf1cd1043f,18.0,-3.675221,128.193442,ID.MA.AM,97129.0,16-06-21,00:55:33,1
119,e6049f50a15f39466073fd4cba2c821b3a13012b,18.0,-3.441441,128.411748,,,16-06-21,00:56:36,315
121,cc799df4319f433800894d6b5cd7d57137451a7a,34.0,-3.693693,128.790056,ID.MA.MT,,16-06-21,00:57:09,334
123,7b7141a0d8be73cfc5f4b89645ed053a845260d1,28.0,-3.679152,128.206318,ID.MA.AM,97128.0,16-06-21,00:57:36,51
