,maid,latitude,longitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,test
0,06f512c297e16e81dd161979ac09545df0afeb34,-3.6937,128.19422,14.0,ID.MA.AM,97121.0,16-06-21,00:00:19,28,3
1,940098734cbe61843e32a6c9adf82dfc8f87c968,-3.702269,128.182223,8.0,ID.MA.AM,97127.0,16-06-21,00:00:41,3,3
2,46cc6a4402c3b8f8c6fa8294ca328ce6ffb4b5ad,-3.387387,127.971331,20.0,ID.MA.SB,97571.0,16-06-21,00:02:15,196,3
3,a797e305a10d9d4d01d951854738284b474bff4c,-3.603941,128.71289,4.0,ID.MA.MT,97546.0,16-06-21,00:02:18,1,5
4,1301deec7553963aa46d4f86c3012f10d428847c,-3.66557,128.15873,14.0,ID.MA.AM,97225.0,16-06-21,00:02:20,2,1
5,855a8469969f4d66dc99c513391f17a3fb7535b5,-3.693693,128.122001,7.0,,,16-06-21,00:03:07,1,5
6,0629172ab2f01133fd4cd2c03b3ff0bb390c7919,-2.84713,129.64967,10.0,ID.MA.MT,97544.0,16-06-21,00:03:15,2,1
7,3f12b1caaddbac9f2390e80659e7ada1fd1b7b6b,-2.955265,128.120093,5.0,ID.MA.SB,97561.0,16-06-21,00:04:20,4,5
8,e1ee4eb6ad63d233db5bfc18ceda7cc64351dada,-3.315315,129.64039,13.0,ID.MA.MT,97544.0,16-06-21,00:06:24,1,1
9,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,-3.66169,128.16882,11.0,ID.MA.AM,97224.0,16-06-21,00:06:45,259,5
10,e96e876fd464c0f8d1bc06e19e8ab6dadf7da23b,-3.70282,128.165391,4.0,ID.MA.AM,97115.0,16-06-21,00:07:01,1,1
11,0c24a5e48f5880c222f9c9413522e7c08cf3c1ab,-3.6902,128.1776,93.0,,,16-06-21,00:07:05,4,5
12,4f64f270bbb3d1497ed7ecddc0589f6c5504ea16,-3.6913,128.20378,12.0,ID.MA.AM,97129.0,16-06-21,00:09:41,3,1
13,5b51aa3b9690351d790c6f8a2793480d44182bc7,-3.657657,128.189044,26.0,ID.MA.AM,97223.0,16-06-21,00:10:01,151,5
14,754b8e93a76db23ff144c6a0d7a9fb2cb2789055,-3.72836,128.1473,17.0,ID.MA.AM,97117.0,16-06-21,00:10:07,2147,1
15,9a5ca3b60661b70ea4d728d9948c78acad676eef,-3.79004,128.09543,15.0,ID.MA.AM,97118.0,16-06-21,00:10:36,2,5
16,9c9a5f538c1bad90baec90cf9aa31be2f48b1b85,-3.29888,128.96235,7.0,ID.MA.MT,97544.0,16-06-21,00:11:06,2,1
17,2e11f08c2a0bf2cc5c0f3637174f7b8584158b3f,-3.62162,128.25613,7.0,ID.MA.AM,97214.0,16-06-21,00:11:31,148,5
18,4ba37ff33960043064a5e56dca8e31b3f3bed97b,-3.69379,128.18882,20.0,ID.MA.AM,97121.0,16-06-21,00:11:40,278,1
19,7e917addacb51400c35560fd64d439fea9521335,-3.662584,128.16101,7.0,ID.MA.AM,97225.0,16-06-21,00:11:47,1,5
20,baa0dfbdc60a983d8d04950d779f06c6d64ae191,-3.6991,128.17819,9.0,ID.MA.AM,97126.0,16-06-21,00:12:29,82,1
21,4be0e227df82ac83fe85a9c24c05c774bb487072,-3.693693,128.194223,15.0,ID.MA.AM,97121.0,16-06-21,00:12:56,202,5
22,0e901d8c1fcccd14eaaba6904cc57f2e6ad839db,-3.423423,128.69813,12.0,,,16-06-21,00:13:11,1,1
23,66b08c9c195b8374fdea561d97bfb0ef5881a8ad,-3.55691,128.19443,12.0,ID.MA.MT,97543.0,16-06-21,00:14:11,3,5
24,a36851dc0f717dca3295c89ebe3836b978e246e1,-3.59064,128.70195,7.0,ID.MA.MT,97546.0,16-06-21,00:15:44,16,1
25,8001b88b8db2b4a621748f383befc5a92fe044f9,-3.70307,128.1607,6.0,ID.MA.AM,97117.0,16-06-21,00:16:47,2,5
26,84b10d9917c01ee2d60da31c6f877cfb1c985980,-3.70489,128.16228,5.0,ID.MA.AM,97117.0,16-06-21,00:18:42,4,1
27,9c4a9fdbf27be919d18fb91e62d7378d38924cf7,-3.259212,129.032238,6.0,ID.MA.MT,97544.0,16-06-21,00:19:11,1,5
28,11f9051b9ed7b3d9efdb761f43c255b7efce72a7,-3.6937,128.19422,12.0,ID.MA.AM,97121.0,16-06-21,00:19:18,183,1
29,aac6733c92747306a62df8891784fd501f193685,-3.692768,128.204255,8.0,ID.MA.AM,97129.0,16-06-21,00:19:28,1,5
30,7cef611f2d3c0f64ca2da5f4cfdb1b59def047dd,-3.590128,128.086271,6.0,ID.MA.MT,97543.0,16-06-21,00:19:47,1,1
31,f6efc10cb20976ab6e111fd8a2b1f2ddaa8c4fc4,-3.603603,128.524391,15.0,ID.MA.MT,97545.0,16-06-21,00:19:52,158,5
32,fb7df9d9e2b8f58bb7d000458b3d49ad96b7e859,-3.59168,128.339006,11.0,ID.MA.MT,97544.0,16-06-21,00:20:26,9,1
33,665b4b4395807aadf47a513d5000bb662e7fe916,-3.6902,128.1776,11.0,,,16-06-21,00:21:11,6,5
34,cbb8daf81325cdc5aacf256e3bb61bfc38c06204,-3.603416,128.715125,12.0,ID.MA.MT,97546.0,16-06-21,00:21:22,2,1
35,b583f0af962b0ae733d423a938f24e7ebc98f91b,-3.685555,128.194262,5.0,ID.MA.AM,97128.0,16-06-21,00:23:25,1,5
36,647753af68dfcacbfe5f56616b18a4d3c9708e21,-3.57347,128.32201,5.0,ID.MA.MT,97544.0,16-06-21,00:23:38,29,1
37,926a5f5f0770656cbb8355f23e637afc92badb13,-3.625089,128.24385,6.0,ID.MA.AM,97215.0,16-06-21,00:24:10,55,5
38,f26ab1b9be8fe1d5984cd525070625ece0c23556,-3.21269,128.28066,13.0,ID.MA.SB,97564.0,16-06-21,00:25:15,10,1
39,b6bd3add8e9a065168bae39604a8f798d8543fdb,-3.6902,128.1776,77.0,,,16-06-21,00:25:59,2,5
40,1a724c5ffdb1413548eeda9c345694466c96fd3b,-3.20721,128.27296,18.0,ID.MA.SB,97564.0,16-06-21,00:26:14,179,1
41,53cfe1e0c91a10d9d19676feb9be8ad5be90acce,-3.65765,128.22513,10.0,ID.MA.AM,97212.0,16-06-21,00:27:46,44,5
42,1bffae3f633c70526412afe159553a6480974a75,-3.658039,128.214366,13.0,ID.MA.AM,97212.0,16-06-21,00:29:25,37,1
43,1053bdf47964598e8ea7e36c369c31eb679f9931,-3.706676,128.191733,9.0,ID.MA.AM,97129.0,16-06-21,00:30:31,110,5
44,11c6d72297b7b434de313514b8db336b52548bdd,-3.6937,128.19422,9.0,ID.MA.AM,97121.0,16-06-21,00:33:08,234,1
45,2ea9d92d3150e4e73c250493249e69bead266750,-3.711711,128.16072,9.0,ID.MA.AM,97117.0,16-06-21,00:34:16,10,5
46,f5655417cff77cdd2cf4a986b53fd249d3deeb56,-3.3086,128.95189,32.0,ID.MA.MT,97544.0,16-06-21,00:34:23,993,1
47,f5dc4927d2a25ec67cb7199d77bfa96cbabba75f,-3.6902,128.1776,1.0,,,16-06-21,00:35:21,53,5
48,2c1933a65b17ae56c433f00cc4edf98d5fe0c36f,-3.696172,128.19402,15.0,ID.MA.AM,97121.0,16-06-21,00:36:34,1,1
49,d9b88fc75af37ebad07cc0a154637453c64fd48a,-3.64361,128.245787,8.0,ID.MA.AM,97211.0,16-06-21,00:37:00,153,5
50,3e0aa142d087024c0b9913c0e984568ffd426fdd,-2.99262,130.14375,24.0,ID.MA.ST,97582.0,16-06-21,00:40:43,43,1
51,172a7ba76a838e37967f3542a73c87f5c948139c,-2.84956,128.636577,6.0,,,16-06-21,00:41:00,9,5
52,26bb9746bed19c245320f8536ea55dc546f3ac18,-3.657783,128.222795,30.0,ID.MA.AM,97212.0,16-06-21,00:41:34,1,1
53,31156368c9966fd40cd7caf0536d3375b6c48b7f,-3.621621,128.22002,17.0,ID.MA.AM,97217.0,16-06-21,00:43:19,154,5
54,7e736314897b6d7115012af8e313f9abfc50e127,-3.641668,128.24043,9.0,ID.MA.AM,97211.0,16-06-21,00:43:42,110,1
55,59e1c8a2b5a53e28450ff532d21ae0a3758881c2,-3.70781,128.17505,11.0,ID.MA.AM,97116.0,16-06-21,00:44:16,330,5
56,8f9e7f5b400a7c3958208d1da4fb6f5e83403771,-3.6902,128.1776,94.0,,,16-06-21,00:45:44,1,1
57,a9b2603eeb52c0cdd4429d3d999e1d5b76ac4534,-3.69581,128.1833,8.0,ID.MA.AM,97124.0,16-06-21,00:49:22,4,5
58,ae52f9220e7b3baca99f5a6bbf111e51cf2d2779,-3.670866,128.19921,4.0,ID.MA.AM,97128.0,16-06-21,00:49:36,2,1
59,d0c66d57503f28dc07a95c01adbacdd928d80e8a,-3.719768,128.066534,4.0,ID.MA.MT,97542.0,16-06-21,00:50:24,4,5
60,d314dfa65ea3dde2efccfb62b9a141b7cc69e1c3,-3.6902,128.1776,34.0,,,16-06-21,00:50:25,5,1
61,16a7ac36db127a9a537b37bd9d2604efe3bdbd8a,-3.59296,128.03071,8.0,ID.MA.MT,97543.0,16-06-21,00:50:40,3,5
62,992055d56c0b64e9675c1e1928d4dfac62652409,-3.6902,128.1776,46.0,,,16-06-21,00:51:35,1,1
63,1e7229103094c7d04ec5d47e51a95266bfba79dc,-3.279279,128.967932,5.0,,,16-06-21,00:53:23,1,5
64,9356e40166814fecd289245ab1949f4f1ecca30f,-3.27137,128.97375,19.0,ID.MA.MT,97544.0,16-06-21,00:53:43,1,1
65,487ca051cf08c1d73571863dfd5707f9996a896d,-3.582248,128.324274,10.0,ID.MA.MT,97544.0,16-06-21,00:54:09,6,5
