,latitude,longitude,test
0,-2.787903,129.387429,1
1,-2.788515,129.388202,1
2,-2.788524,129.3915,1
3,-2.78868,129.3932,1
4,-2.78884,129.38805,1
5,-2.788857,129.399902,1
6,-2.788876,129.391441,1
7,-2.78899,129.399323,1
8,-2.789012,129.399358,1
9,-2.78902,129.39935,1
10,-2.79063,129.41065,1
11,-2.790655,129.414066,1
12,-2.791526,129.41462,1
13,-2.792792,129.48712,1
14,-2.792792,129.487128,1
15,-2.79364,129.488131,1
16,-2.793713,129.511868,1
17,-2.79464,129.490936,1
18,-2.794965,129.491697,1
19,-2.795609,129.493955,1
20,-2.795711,129.494445,1
21,-2.796109,129.498245,1
22,-2.796146,129.046596,1
23,-2.796175,129.04663,1
24,-2.79631,129.497836,1
25,-2.79675,129.0421,1
26,-2.796862,129.4993,1
27,-2.797805,129.502823,1
28,-2.797976,129.038672,1
29,-2.798045,129.491606,1
30,-2.798424,129.059191,1
31,-2.799147,129.500733,1
32,-2.800199,129.501557,1
33,-2.800981,129.056063,5
34,-2.801482,129.370383,5
35,-2.80502,129.05858,5
36,-2.805068,129.058539,5
37,-2.805356,129.057003,5
38,-2.805916,129.518725,5
39,-2.80869,129.06049,5
40,-2.810669,129.373623,5
41,-2.81081,129.00204,5
42,-2.81081,129.03813,5
43,-2.81082,129.50715,5
44,-2.812235,129.010798,5
45,-2.813024,129.009051,5
46,-2.81314,129.01032,5
47,-2.813411,129.009675,5
48,-2.814491,129.009613,5
49,-2.814954,129.008333,5
50,-2.815738,129.007373,5
51,-2.817496,129.00609,5
52,-2.818245,129.00596,5
53,-2.820306,129.003413,5
54,-2.822847,128.997536,5
55,-2.843688,128.655083,5
56,-2.844034,129.659899,5
57,-2.84479,129.660686,5
58,-2.84479,129.660686,5
59,-2.845874,129.713676,5
60,-2.84713,129.64967,5
61,-2.848592,129.66231,5
62,-2.84872,129.71234,5
63,-2.84888,129.72386,5
64,-2.849109,129.71333,5
65,-2.84917,128.48368,5
66,-2.84936,128.64136,5
67,-2.84952,129.65494,5
68,-2.849532,128.483982,5
